page,country,rev_id,prediction
List of politicians in Poland,Poland,516633096,
Tingtingru,Vanuatu,550682925,
Daud Arsala,Afghanistan,627547024,
Bharat Saud,Nepal,671484594,
Robert Sych,Poland,684023803,
Marek Krzysztof Jeleniewski,Poland,684023859,
Narayani Datt Chataut,Nepal,698572327,
Mohammad Amjad,Pakistan,699260156,
Gomez das Mariñas,Spain,703773782,
Valerio De Los Benidos,Cuba,706204833,
Kamlesh Arya,Fiji,706810694,
Khaled Aghbariyya,Israel,709508670,
Vladimir Shamakhov,Russia,710311600,
Panu Laturi,Finland,711288191,
Michel Ximenes,France,711513274,
I Gede Sumantara Ady Pratama,Indonesia,712411818,
Łukasz Kowalski,Poland,712872338,
Blanka Olszewska,Poland,712872421,
Janusz Jerzy Drozdalski,Poland,712872473,
Piotr Michał Trzaska,Poland,712872531,
Anna Teresa Piórkowska,Poland,712873183,
Edward Ignacy Hartwich,Poland,712873308,
Lech Andrzej Zagłoba-Zygler,Poland,712873386,
Elżbieta Teresa Rusielewicz,Poland,712878000,
Adam Wojciech Fórmaniak,Poland,712878267,
Zbigniew Józef Sobociński,Poland,712878343,
Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,
Jarosław Wenderlich,Poland,712881543,
Ewa Joanna Starosta,Poland,712881676,
Stanisław Grodzicki (politician),Poland,712881741,
Tadeusz Mirosław Kondrusiewicz,Poland,712881882,
Wojciech Hieronim Nowacki,Poland,712889562,
Jacek Rosół,Poland,712889594,
Tomasz Jan Rega,Poland,712889683,
Marek Henryk Gralik,Poland,712889781,
Michał Piotr Sztybel,Poland,712889809,
Jacek Andrzej Bukowski,Poland,712891291,
Kazimierz Drozd,Poland,712891354,
Lech Stanisław Lewandowski,Poland,712891378,
Felicja Gwincińska,Poland,712891476,
Shah Seyyed Ali Kazemi,Iran,713368646,
Diabete Aboubacar Siriki,Ivorian,713381693,
Fawzi al-Ghazzi,Syria,714352602,
Armin Halitović,Bosnia-Herzegovina,715273866,
James H. Stuart,Canada,715457941,
Gissur Petersson,Iceland,715534283,
Amirsho Miraliyev,Tajikistan,715978328,
Nicole Gauthier,France,717536136,
Patrick van Ypersele de Strihou,Belgium,717917231,
Bakhtiar Mahmud Kasuri,Pakistan,717927381,
Friedrich Peus,Germany,719521006,
Talib Garingan Pawaki,Philippines,719581803,
Guglielmo Rapinett,Malta,719981739,
Christian Raster,Germany,720054719,
Kimball–Snow–Woolley family,United States,720356159,
Malak Zmarak Khan Mandokhail,Pakistan,720688837,
Francis Phips,United Kingdom,720856841,
Constantino Salinas,Spain,720924221,
Gu Jinchi,China,720953589,
Emil Ragazzini,Croatia,720993927,
Max Adolf Richter,Germany,721509220,
Lourdes Aranda,Mexico,721856824,
David J. Reimer,Canada,724052271,
Eistein Rajaonary,Madagascar,726600165,
Mahesh Kumar Malani,Pakistan,730950147,
Patrick Nwakamma Ottih,Cameroon,734957625,
Woman's National Democratic Club,United States,735966681,
Liam Mac an Ultaigh,Ireland,736660951,
Alois Buttinger,Austria,737123608,
Mgeni Jadi Kadika,Tanzania,738480520,
Marcel Hatch,Canada,738514517,
Rajabboy Norkallayev,Tajikistan,738984692,
Valérie Dupont,France,739115995,
Françoise Foning,Cameroon,743770874,
Peter O'Brien (politician),Ireland,744643166,
Mahmoud Karem,Egypt,745915558,
Bia Venâncio,Brazil,747688056,
Pat Bridson,Ireland,747922835,
Leonardo Dudan,Croatia,748601806,
Wanmelbu,Vanuatu,749326717,
Éric Faurot,France,749389032,
Bruno Subtil,France,749546552,
Thierry Gourlot,France,749699147,
Jean-Marc de Lacoste-Lareymondie,France,749705073,
List of personal coats of arms of Presidents of Haiti,Haiti,750849372,
Diyar Khan Yaqubi,Pakistan,754739349,
Arthur Gregorian,Armenia,756697478,
Marcelo Cerqueira,Brazil,757313957,
Ahmad Balal,Pakistan,757961591,
Saifuddin Bohra,Pakistan,758706289,
Saleh Al Shal,United Arab Emirates,760194556,
Josef Siegele,Austria,760195376,
Nikolay Baranov (politician),Russia,761821348,
Kalthouma Nguembang,Chad,762816132,
