page,country,rev_id,prediction
Bir I of Kanem,Chad,355319463,Stub
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,Stub
Yos Por,Cambodia,393822005,Stub
Julius Gregr,Czech Republic,395521877,Stub
Edvard Gregr,Czech Republic,395526568,Stub
Robert Douglas Cook,Canada,401577829,Stub
List of Grand Viziers of Egypt,Egypt,442937236,Stub
Sehba Musharraf,Pakistan,448555418,Stub
Butler-Belmont family,United States,470173494,Start
List of Canadian incumbents by year,Canada,477962574,Stub
Sheikh Sadiq Ali Ansari,India,492060822,Stub
Cayetano Pacana,Philippines,492964343,Stub
Abdullah II of Kanem,Chad,498683267,Stub
Heard-Hawes family,United States,502721672,C
List of German politicians,Germany,521986779,Stub
Raspicious Dzanjalimodzi,Malawi,532253442,Stub
Manuel Antonio Blas Sáenz,Nicaragua,543225630,Stub
Béla Vörösmarty,Hungary,545936100,Stub
Presidents of the General Council of French Guiana,French Guiana,546364151,Start
Finn Sjue,Norway,549300521,Stub
Russell family (American political family),United States,550953646,Stub
Maximo Suniel,Philippines,559553872,Stub
Mihály Mikes (soldier),Hungary,559788982,Stub
The Man with the Chocolate Robe,Iran,560758943,Stub
List of Malta Labour Party leaders,Malta,561744402,Stub
Marquis of Amboage,Spain,564873005,Stub
Salmama II of Kanem,Chad,565745353,Stub
Kuri I of Kanem,Chad,565745365,Stub
Mohammed I of Kanem,Chad,565745375,Stub
Timoteo Menéndez,Salvadoran,566504165,Stub
"List of members of the parliament of Malta, 2008–13",Malta,573710096,B
Gervas Clay,Rhodesian,574571582,Stub
Samuel Nii Ayi Mankattah,Ghana,576988466,Stub
Hemed Khamis,Tanzania,585894477,Stub
Mavua Mudima,"Congo, Dem. Rep. of",592289232,Stub
Council of Ministers of Togo,Togo,595693452,Start
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,Start
Abdullah Al Nuaimi (politician),United Arab Emirates,598819900,Start
Zhang Zhenzhou,China,601122766,Stub
Feng Liao,China,601127343,Start
Wu Shihuo,China,614786300,Start
Kennedy Kiliku,Kenya,623004627,Stub
Kamu de Almeida,Angola,623334577,Stub
Hiša Marije Pomočnice,Slovenia,624468970,Stub
Đuro Šurmin,Croatia,625509885,Start
Suishō,Japan,626606789,Stub
Nikolai Sulima,Russia,627001041,Stub
Khayelihle Mathaba,South Africa,627051151,Stub
Vilho Turunen,Finland,627432937,Stub
Vihtori Aromaa,Finland,628261896,Stub
Jonathan Wartiovaara,Finland,628268705,Stub
Arvi Turkka,Finland,628270736,Stub
Juho Heikkinen,Finland,628312759,Stub
Emanuel Aromaa,Finland,628379479,Stub
Jukka Lankila,Finland,628563978,Stub
Jalmari Malmi,Finland,628619000,Stub
Viljo Pousi,Finland,628766656,Stub
Jooseppi Kauranen,Finland,628988952,Stub
Sardar Aurang Zeb Khan,Pakistan,629562076,Stub
Jeremiah Kasambala,Tanzania,629818376,Stub
Sofia Hjulgrén,Finland,630396351,Stub
Vihtori Viitanen,Finland,630396786,Stub
Tirso Neri,Philippines,630704768,Stub
Cleisthenes (son of Sibyrtius),Greece,631437331,Stub
Demonax (lawmaker),Greece,631581752,Start
List of 2009 Canadian incumbents,Canada,632008524,Start
"Zero, None Of The Above",United Kingdom,632261377,Stub
Johan Franzén (politician),Finland,632447328,Stub
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,Start
Liu Hongchang,China,634032715,B
Custos Rotulorum of County Wicklow,Ireland,635240253,Stub
Custos Rotulorum of County Cork,Ireland,635814126,Stub
Book:Two Political Biographies,India,636911471,Stub
Hegesippus (orator),Greece,637801253,Stub
Pheroze Sethna,India,638214719,Stub
Ibrahim Kassas,Tunisia,638362866,Stub
Dilip Sarkar,India,638377138,Stub
"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,Start
Gatluak Deng Garang,South Sudan,638571205,Stub
List of members of the National Assembly of Botswana 2009–14,Botswana,638599355,Start
Aliyu Ibrahim Gebi,Nigeria,639021339,Stub
Wang Jichang,China,639061161,Start
Waldemir Moka,Brazil,639471171,Stub
Custos Rotulorum of County Waterford,Ireland,640014648,Stub
Lee Ja-kyum,"Korea, South",640214913,Stub
Wei Huan-zi,China,640826254,Stub
O'Higgins Pioche,Chile,641422326,Stub
"List of Captains Regent of San Marino, 1500–1700",San Marino,643410335,Start
Eiler Grubbe,Denmark,643746000,Stub
"List of members of the Løgting, 1974–78",Faroese,643932216,Start
"List of members of the Løgting, 1978–80",Faroese,643932220,Start
"List of members of the Løgting, 1980–84",Faroese,643932225,Start
"List of members of the Løgting, 1984–88",Faroese,643932226,Start
"List of members of the Løgting, 1990–94",Faroese,643932239,Start
"List of members of the Løgting, 1994–98",Faroese,643932242,Start
Olli Zitting,Finland,644024203,Stub
Pierre Philibert de Blancheton,France,644041882,Stub
Luiza Xhuvani,Albania,644399375,Stub
Diego de Villalba y Toledo,Spain,645225697,Start
Jabulani Dube,Zimbabwe,645408814,Stub
James Bisset (mayor),Cape Colony,647367482,Start
Ministry of Economy and Finance (Benin),Benin,647450883,Stub
Gheorghe Barbu,Romania,647483021,Stub
Pan Yunduan,China,647832959,Stub
Otto Elfving,Finland,647893858,Stub
List of Sri Lankan politicians,Sri Lanka,648048611,Stub
Fathema Ismail,India,648271473,Stub
Rafael Simancas,Spain,650458255,Stub
Adela Serra-Ty,Philippines,650462344,Stub
Muhammad al-Ghafri,Syria,650494773,Stub
Augustus Joseph Tancred,Cape Colony,651250302,Stub
Eneida de León,Uruguay,651785828,Stub
Read family of Delaware,United States,651856758,Stub
Johan Conrad Silberbauer,Cape Colony,653467222,Stub
Rossy Barbour,Canada,653527941,Stub
Reginald Nii Bi Ayibonte,Ghana,653895210,Stub
Franz Schimmelpfennig von der Ove,Poland,654012510,Stub
Ville Korhonen (politician),Finland,655031906,Stub
Onni Hallsten,Finland,655032578,Stub
Yosia Nadiope of Busoga,Uganda,655390291,Stub
María del Socorro Bustamante,Colombia,655980284,Stub
Enrique Pintado,Uruguay,656352211,Stub
Instructions of the Year XIII,Uruguay,656386131,Stub
Governor of Gagauzia,Moldova,656737492,Stub
Neferkheperu-her-sekheper,Egypt,657176628,Start
Abeifaa Karbo,Ghana,658939122,Stub
Auguste Louis Antoine Fabre,France,659315526,Stub
Maksud Ibragimov,Tajikistan,660214915,Start
Miguel R. Morales,Nicaragua,660579437,Stub
Aljoša Čampara,Bosnia-Herzegovina,660884852,Start
Walter Simon (philanthropist),Germany,662681733,Start
Abu Sayyaf (Jordan),Jordan,662927043,Start
List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,Stub
Torsten Nielsen,Denmark,663166199,Stub
"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,Stub
Mufti Abdullah,Pakistan,663572469,Stub
William Matthew Harries,South Africa,663617582,Stub
Maanu Paul,New Zealand,663783398,Stub
County governor (Lithuania),Lithuania,663880497,Stub
