article_name,country,region,revision_id,article_quality,population
Bir I of Kanem,Chad,AFRICA,355319463.0,Stub,16.877
Abdullah II of Kanem,Chad,AFRICA,498683267.0,Stub,16.877
Salmama II of Kanem,Chad,AFRICA,565745353.0,Stub,16.877
Kuri I of Kanem,Chad,AFRICA,565745365.0,Stub,16.877
Mohammed I of Kanem,Chad,AFRICA,565745375.0,Stub,16.877
Kuri II of Kanem,Chad,AFRICA,669719757.0,Stub,16.877
Bir II of Kanem,Chad,AFRICA,670893206.0,Stub,16.877
Mahamat Hissene,Chad,AFRICA,693055898.0,Stub,16.877
Othman I,Chad,AFRICA,705432607.0,Stub,16.877
Alphonse Kotiga,Chad,AFRICA,707593108.0,Stub,16.877
Oueddei Kichidemi,Chad,AFRICA,708346649.0,Start,16.877
Dunama I,Chad,AFRICA,710675092.0,Stub,16.877
Ahmad (Kanem-Bornu king),Chad,AFRICA,711388267.0,Stub,16.877
Djibrine Kerallah,Chad,AFRICA,712971263.0,Stub,16.877
Maurice Ngangtar,Chad,AFRICA,712971315.0,Stub,16.877
Idriss Miskine,Chad,AFRICA,712971738.0,Stub,16.877
Laoukein Kourayo Médard,Chad,AFRICA,716886170.0,Stub,16.877
Nadji Madou,Chad,AFRICA,716886788.0,Stub,16.877
Noël Milarew Odingar,Chad,AFRICA,716891799.0,Start,16.877
Yaya Dillo Djérou,Chad,AFRICA,717733209.0,Stub,16.877
Acheikh Ibn-Oumar,Chad,AFRICA,719821590.0,Start,16.877
Quatre Sou Quatre,Chad,AFRICA,720066754.0,Stub,16.877
Ali Gazi,Chad,AFRICA,722563340.0,Stub,16.877
Mahamat Djarma Khatir,Chad,AFRICA,725132042.0,Stub,16.877
Dunama IX Lefiami,Chad,AFRICA,731749611.0,Stub,16.877
Dawud of Kanem,Chad,AFRICA,736550266.0,Stub,16.877
Ahmed Koulamallah,Chad,AFRICA,738855197.0,Start,16.877
Abbo Nassour,Chad,AFRICA,741369486.0,C,16.877
Abdel Kader Baba-Laddé,Chad,AFRICA,742213176.0,Stub,16.877
Hummay,Chad,AFRICA,747271475.0,Stub,16.877
Ngarlejy Yorongar,Chad,AFRICA,751304544.0,C,16.877
Saleh Kezabo,Chad,AFRICA,751380073.0,Stub,16.877
Bourkou Louise Kabo,Chad,AFRICA,757072468.0,Start,16.877
Brahim Koulamallah,Chad,AFRICA,757802238.0,Stub,16.877
Saadie Goukouni Weddeye,Chad,AFRICA,757842614.0,Start,16.877
Mahamoud Adam Béchir,Chad,AFRICA,762579466.0,Start,16.877
Djidingar Dono Ngardoum,Chad,AFRICA,764133533.0,Stub,16.877
Youssouf Saleh Abbas,Chad,AFRICA,771052289.0,C,16.877
Koibla Djimasta,Chad,AFRICA,774223245.0,Start,16.877
Nassour Guelendouksia Ouaido,Chad,AFRICA,774223248.0,C,16.877
Joseph Brahim Seid,Chad,AFRICA,777478442.0,Stub,16.877
Joseph Yodoyman,Chad,AFRICA,777550078.0,Start,16.877
Antoine Bangui,Chad,AFRICA,782638002.0,Start,16.877
Ibrahim IV of Bornu,Chad,AFRICA,785614014.0,Stub,16.877
Hadjé Halimé,Chad,AFRICA,786449636.0,C,16.877
Youssouf Togoïmi,Chad,AFRICA,787390241.0,Start,16.877
Adoum Younousmi,Chad,AFRICA,787719236.0,Start,16.877
François Tombalbaye,Chad,AFRICA,787738541.0,C,16.877
Ahmat Hassaballah Soubiane,Chad,AFRICA,787910771.0,Stub,16.877
Ahmad Allam-Mi,Chad,AFRICA,787921293.0,Start,16.877
Laotegguelnodji Koumtog,Chad,AFRICA,788009613.0,Stub,16.877
Mahamat Ali Adoum,Chad,AFRICA,788014671.0,Start,16.877
Mahamat Saleh Annadif,Chad,AFRICA,788658822.0,Start,16.877
Mohamed Bechir-Sow,Chad,AFRICA,788827248.0,Stub,16.877
Gontchomé Sahoulba,Chad,AFRICA,788828388.0,Start,16.877
Gabriel Lisette,Chad,AFRICA,788828519.0,Start,16.877
Ali II of Bornu,Chad,AFRICA,788999424.0,Stub,16.877
Arabi El Goni,Chad,AFRICA,789126126.0,Stub,16.877
Dunama Dabbalemi,Chad,AFRICA,789935196.0,Start,16.877
Idris Alooma,Chad,AFRICA,792734868.0,Start,16.877
Mahamat Nouri,Chad,AFRICA,792954115.0,B,16.877
Idriss Ndele Moussa,Chad,AFRICA,796654025.0,Stub,16.877
Mbaydoum Simeon,Chad,AFRICA,796690873.0,Stub,16.877
Ngarindo Milengar,Chad,AFRICA,796700718.0,Stub,16.877
List of Prime Ministers of Chad,Chad,AFRICA,797747674.0,Start,16.877
Idriss Déby,Chad,AFRICA,798286150.0,C,16.877
Saleh Kebzabo,Chad,AFRICA,798626040.0,C,16.877
Moussa Faki,Chad,AFRICA,799043301.0,C,16.877
Kalzeubet Pahimi Deubet,Chad,AFRICA,799413193.0,Stub,16.877
Haroun Kabadi,Chad,AFRICA,799447895.0,Start,16.877
Nagoum Yamassoum,Chad,AFRICA,799447995.0,Start,16.877
Outel Bono,Chad,AFRICA,799448338.0,Start,16.877
Ahmat Acyl,Chad,AFRICA,799902492.0,C,16.877
Djimrangar Dadnadji,Chad,AFRICA,800133552.0,Start,16.877
Delwa Kassiré Koumakoye,Chad,AFRICA,801029539.0,C,16.877
Fidèle Moungar,Chad,AFRICA,801192255.0,C,16.877
Jean Alingué Bawoyeu,Chad,AFRICA,801192303.0,B,16.877
Emmanuel Nadingar,Chad,AFRICA,801573576.0,C,16.877
Roger Djikisna,Chad,AFRICA,801583221.0,Stub,16.877
Firmin Djidingar,Chad,AFRICA,801583260.0,Stub,16.877
Idris I of Kanem,Chad,AFRICA,802874918.0,Stub,16.877
Vice President of Chad,Chad,AFRICA,803166509.0,Stub,16.877
Hissène Habré,Chad,AFRICA,803166806.0,GA,16.877
Negue Djogo,Chad,AFRICA,803166989.0,Start,16.877
Wadel Abdelkader Kamougué,Chad,AFRICA,803167152.0,C,16.877
Félix Malloum,Chad,AFRICA,803167336.0,Start,16.877
Lol Mahamat Choua,Chad,AFRICA,803167424.0,C,16.877
Goukouni Oueddei,Chad,AFRICA,803167990.0,C,16.877
Albert Pahimi Padacké,Chad,AFRICA,803433107.0,C,16.877
List of heads of state of Chad,Chad,AFRICA,803812011.0,Start,16.877
Elise Loum,Chad,AFRICA,804773540.0,Start,16.877
Agnes Allafi,Chad,AFRICA,805493169.0,Start,16.877
Christine Georges Diguibaye,Chad,AFRICA,806337653.0,Stub,16.877
Pascal Yoadimnadji,Chad,AFRICA,806508985.0,Start,16.877
Aissa Koli,Chad,AFRICA,806616268.0,Start,16.877
Omar I of Kanem,Chad,AFRICA,807425129.0,Start,16.877
Information Minister of the Palestinian National Authority,Palestinian Territory,ASIA,393276188.0,Stub,5.008
Finance Minister of the Palestinian National Authority,Palestinian Territory,ASIA,596181202.0,Start,5.008
Planning Minister of the Palestinian National Authority,Palestinian Territory,ASIA,633612729.0,Start,5.008
Hossam Arafat (politician),Palestinian Territory,ASIA,680933208.0,Stub,5.008
Tawfik Tirawi,Palestinian Territory,ASIA,701106976.0,Start,5.008
Isam al-Qadi,Palestinian Territory,ASIA,706650943.0,Stub,5.008
Hussein al-Araj,Palestinian Territory,ASIA,707669406.0,Stub,5.008
Mohammad Barghouti,Palestinian Territory,ASIA,708269321.0,Stub,5.008
Ahmed Khalidi,Palestinian Territory,ASIA,708495719.0,Stub,5.008
Health Minister of the Palestinian National Authority,Palestinian Territory,ASIA,708817890.0,Stub,5.008
Qais Abd al-Karim,Palestinian Territory,ASIA,709529097.0,Stub,5.008
Mahmoud Aloul,Palestinian Territory,ASIA,709567584.0,Stub,5.008
Victor Batarseh,Palestinian Territory,ASIA,709994434.0,Stub,5.008
Hanna Nasser (academic),Palestinian Territory,ASIA,710133339.0,Start,5.008
Anastas Hanania,Palestinian Territory,ASIA,710390049.0,Start,5.008
Joudeh George Murqos,Palestinian Territory,ASIA,710676772.0,Stub,5.008
Ali al-Sartawi,Palestinian Territory,ASIA,710990363.0,Stub,5.008
Jamal Tirawi,Palestinian Territory,ASIA,712310215.0,Start,5.008
Samir Abu Eisheh,Palestinian Territory,ASIA,713203735.0,Stub,5.008
Sami Taha,Palestinian Territory,ASIA,713505054.0,Start,5.008
Ayyub Musallam,Palestinian Territory,ASIA,714176771.0,Stub,5.008
Hajj Essa Hamed,Palestinian Territory,ASIA,714181175.0,Start,5.008
Hasan Tahboub,Palestinian Territory,ASIA,714208891.0,Stub,5.008
Hanna Nasser,Palestinian Territory,ASIA,714586856.0,Stub,5.008
Ghazi Hanania,Palestinian Territory,ASIA,715125381.0,Stub,5.008
Amin Abd al-Hadi,Palestinian Territory,ASIA,716425885.0,Stub,5.008
Samir Hulileh,Palestinian Territory,ASIA,717174805.0,Start,5.008
Hatem Qafisha,Palestinian Territory,ASIA,717350346.0,Stub,5.008
Nayef Rajoub,Palestinian Territory,ASIA,717907429.0,Stub,5.008
Ghassan Shakaa,Palestinian Territory,ASIA,720225559.0,Stub,5.008
Salim Zanoun,Palestinian Territory,ASIA,720541817.0,Stub,5.008
Ahmad Bahar (Palestinian politician),Palestinian Territory,ASIA,725592476.0,Stub,5.008
Umm Nidal,Palestinian Territory,ASIA,729635985.0,C,5.008
Aref al-Dajani,Palestinian Territory,ASIA,730565205.0,Start,5.008
Faed Mustafa,Palestinian Territory,ASIA,730612889.0,Stub,5.008
Interior Minister of the Palestinian National Authority,Palestinian Territory,ASIA,734366909.0,B,5.008
Samiha Khalil,Palestinian Territory,ASIA,737316891.0,Start,5.008
Imil Jarjoui,Palestinian Territory,ASIA,738485209.0,Stub,5.008
Abu Zakaria al-Jamal,Palestinian Territory,ASIA,740251014.0,Stub,5.008
Mustafa al-Khalidi,Palestinian Territory,ASIA,740562507.0,Stub,5.008
Samir Ghawshah,Palestinian Territory,ASIA,741240899.0,Start,5.008
Fuad Kokaly,Palestinian Territory,ASIA,742810698.0,Stub,5.008
Janet Mikhail,Palestinian Territory,ASIA,742930612.0,Stub,5.008
Hind Khoury,Palestinian Territory,ASIA,744229617.0,Stub,5.008
Saloum Cohen,Palestinian Territory,ASIA,744680083.0,Stub,5.008
Ahmed Majdalani,Palestinian Territory,ASIA,745445418.0,Start,5.008
Faidi al-Alami,Palestinian Territory,ASIA,746561126.0,Stub,5.008
Arafat scarf,Palestinian Territory,ASIA,752269980.0,Stub,5.008
Zuhir al-Qaisi,Palestinian Territory,ASIA,754951299.0,C,5.008
Mohammed Shabir,Palestinian Territory,ASIA,754960024.0,Start,5.008
Said Seyam,Palestinian Territory,ASIA,755358806.0,C,5.008
Atef Adwan,Palestinian Territory,ASIA,756834998.0,Start,5.008
Moussa Arafat,Palestinian Territory,ASIA,756836183.0,Start,5.008
Khouloud Daibes,Palestinian Territory,ASIA,757565638.0,Start,5.008
Nahid al-Rayyis,Palestinian Territory,ASIA,759387598.0,Start,5.008
Rawhi Fattouh,Palestinian Territory,ASIA,760357919.0,Start,5.008
Wasfi Kabha,Palestinian Territory,ASIA,760375386.0,Stub,5.008
Omar Hammayil,Palestinian Territory,ASIA,760380012.0,Stub,5.008
Mohammed Milhim,Palestinian Territory,ASIA,760380700.0,Stub,5.008
Faisal Husseini,Palestinian Territory,ASIA,765742925.0,Start,5.008
Haidar Abdel-Shafi,Palestinian Territory,ASIA,766784372.0,Start,5.008
Nasser al-Shaer,Palestinian Territory,ASIA,766840809.0,Start,5.008
Omar Abd al-Razaq,Palestinian Territory,ASIA,766847361.0,Stub,5.008
Adnan al-Husayni,Palestinian Territory,ASIA,767482479.0,Stub,5.008
Ziad Abu Amr,Palestinian Territory,ASIA,767881055.0,Start,5.008
Ziad Abuzayyad,Palestinian Territory,ASIA,768374386.0,Start,5.008
Azzam al-Ahmad,Palestinian Territory,ASIA,769135700.0,Stub,5.008
Leila Shahid,Palestinian Territory,ASIA,769328020.0,Start,5.008
Sharm El Sheikh Memorandum,Palestinian Territory,ASIA,771217707.0,Start,5.008
Hussein al-Husayni,Palestinian Territory,ASIA,773002344.0,Start,5.008
Riyad al-Maliki,Palestinian Territory,ASIA,773227993.0,Start,5.008
Yasser Abed Rabbo,Palestinian Territory,ASIA,774821388.0,C,5.008
Isra al-Modallal,Palestinian Territory,ASIA,775535912.0,Start,5.008
