country;population;region
Algeria;44.357;AFRICA
Egypt;100.803;AFRICA
Libya;6.891;AFRICA
Morocco;35.952;AFRICA
Sudan;43.849;AFRICA
Tunisia;11.896;AFRICA
Western Sahara;597;AFRICA
Benin;12.209;AFRICA
Burkina Faso;20.903;AFRICA
Cape Verde;556;AFRICA
Cote d'Ivoire;26.175;AFRICA
Gambia;2.417;AFRICA
Ghana;31.073;AFRICA
Guinea;12.56;AFRICA
Guinea-Bissau;1.927;AFRICA
Liberia;5.058;AFRICA
Mali;20.251;AFRICA
Mauritania;4.65;AFRICA
Niger;24.189;AFRICA
Nigeria;206.14;AFRICA
Senegal;16.744;AFRICA
Sierra Leone;7.977;AFRICA
Togo;8.279;AFRICA
Burundi;11.866;AFRICA
Comoros;0.87;AFRICA
Djibouti;988;AFRICA
Eritrea;3.546;AFRICA
Ethiopia;114.916;AFRICA
Kenya;53.528;AFRICA
Madagascar;27.691;AFRICA
Malawi;19.13;AFRICA
Mauritius;1.265;AFRICA
Mayotte;284;AFRICA
Mozambique;31.166;AFRICA
Reunion;861;AFRICA
Rwanda;12.952;AFRICA
Seychelles;98;AFRICA
Somalia;15.893;AFRICA
South Sudan;11.194;AFRICA
Tanzania;59.734;AFRICA
Uganda;45.741;AFRICA
Zambia;18.384;AFRICA
Zimbabwe;14.863;AFRICA
Angola;32.522;AFRICA
Cameroon;26.598;AFRICA
Central African Republic;4.83;AFRICA
Chad;16.877;AFRICA
Congo;5.518;AFRICA
Congo, Dem. Rep.;89.568;AFRICA
Equatorial Guinea;1.403;AFRICA
Gabon;2.231;AFRICA
Sao Tome and Principe;0.21;AFRICA
Botswana;2.317;AFRICA
eSwatini;1.104;AFRICA
Lesotho;2.142;AFRICA
Namibia;2.541;AFRICA
South Africa;59.628;AFRICA
Canada;38.19;NORTHERN AMERICA
United States;329.878;NORTHERN AMERICA
Belize;419;LATIN AMERICA AND THE CARIBBEAN
Costa Rica;5.111;LATIN AMERICA AND THE CARIBBEAN
El Salvador;6.481;LATIN AMERICA AND THE CARIBBEAN
Guatemala;18.066;LATIN AMERICA AND THE CARIBBEAN
Honduras;9.864;LATIN AMERICA AND THE CARIBBEAN
Mexico;127.792;LATIN AMERICA AND THE CARIBBEAN
Nicaragua;6.596;LATIN AMERICA AND THE CARIBBEAN
Panama;4.283;LATIN AMERICA AND THE CARIBBEAN
Antigua and Barbuda;98;LATIN AMERICA AND THE CARIBBEAN
Bahamas;393;LATIN AMERICA AND THE CARIBBEAN
Barbados;287;LATIN AMERICA AND THE CARIBBEAN
Cuba;11.281;LATIN AMERICA AND THE CARIBBEAN
Curacao;155;LATIN AMERICA AND THE CARIBBEAN
Dominica;72;LATIN AMERICA AND THE CARIBBEAN
Dominican Republic;10.5;LATIN AMERICA AND THE CARIBBEAN
Grenada;113;LATIN AMERICA AND THE CARIBBEAN
Guadeloupe;375;LATIN AMERICA AND THE CARIBBEAN
Haiti;11.403;LATIN AMERICA AND THE CARIBBEAN
Jamaica;2.809;LATIN AMERICA AND THE CARIBBEAN
Martinique;356;LATIN AMERICA AND THE CARIBBEAN
Puerto Rico;3.189;LATIN AMERICA AND THE CARIBBEAN
St. Kitts-Nevis;54;LATIN AMERICA AND THE CARIBBEAN
Saint Lucia;182;LATIN AMERICA AND THE CARIBBEAN
St. Vincent and the Grenadines;111;LATIN AMERICA AND THE CARIBBEAN
Trinidad and Tobago;1.369;LATIN AMERICA AND THE CARIBBEAN
Argentina;45.377;LATIN AMERICA AND THE CARIBBEAN
Bolivia;11.633;LATIN AMERICA AND THE CARIBBEAN
Brazil;211.812;LATIN AMERICA AND THE CARIBBEAN
Chile;19.47;LATIN AMERICA AND THE CARIBBEAN
Colombia;49.444;LATIN AMERICA AND THE CARIBBEAN
Ecuador;17.511;LATIN AMERICA AND THE CARIBBEAN
French Guiana;294;LATIN AMERICA AND THE CARIBBEAN
Guyana;787;LATIN AMERICA AND THE CARIBBEAN
Paraguay;7.255;LATIN AMERICA AND THE CARIBBEAN
Peru;32.824;LATIN AMERICA AND THE CARIBBEAN
Suriname;605;LATIN AMERICA AND THE CARIBBEAN
Uruguay;3.531;LATIN AMERICA AND THE CARIBBEAN
Venezuela;28.645;LATIN AMERICA AND THE CARIBBEAN
Armenia;2.956;ASIA
