article_name,country,region,revision_id,article_quality,population
Julius Gregr,Czech Republic,,395521877.0,Stub,
Edvard Gregr,Czech Republic,,395526568.0,Stub,
Miroslav Poche,Czech Republic,,672862914.0,Stub,
Vojtěch Mynář,Czech Republic,,673008587.0,Stub,
Jan Malypetr,Czech Republic,,704424304.0,Stub,
Emanuel Moravec,Czech Republic,,705080136.0,Start,
Vladimír Hučín,Czech Republic,,707597623.0,Start,
Pavla Topolánková,Czech Republic,,709676840.0,Start,
Josef Barák,Czech Republic,,711675761.0,Stub,
Antonín Švehla,Czech Republic,,712426548.0,Stub,
Jakob Marzel Sternberger,Czech Republic,,713698544.0,Stub,
Alois Anderka,Czech Republic,,714174726.0,Stub,
Ivan Dejmal,Czech Republic,,715467197.0,Start,
Franz Macoun,Czech Republic,,715640391.0,Stub,
Karel Urbánek,Czech Republic,,716711851.0,Stub,
Vladimír Klokočka,Czech Republic,,717429365.0,Start,
Jaromír Jermář,Czech Republic,,720027362.0,Stub,
Artur London,Czech Republic,,721736524.0,Start,
František Sláma (politician),Czech Republic,,722937211.0,Stub,
Jan Kubice,Czech Republic,,723151837.0,Stub,
Kamil Jankovský,Czech Republic,,723207013.0,Stub,
Václav Vacek,Czech Republic,,724691268.0,Stub,
Čestmír Císař,Czech Republic,,725362978.0,C,
Luca Rovinalti,Czech Republic,,726666131.0,Stub,
Kamil Krofta,Czech Republic,,726762194.0,Start,
Milan Štěch,Czech Republic,,728506208.0,Stub,
Antonín Janoušek,Czech Republic,,729912438.0,Stub,
Bedřich Geminder,Czech Republic,,730146355.0,Stub,
Karel Domin,Czech Republic,,735174171.0,Start,
Hubert Ripka,Czech Republic,,737562321.0,Start,
Tomáš Eduard Šilinger,Czech Republic,,741588720.0,Stub,
Petr Janyška,Czech Republic,,741798984.0,Stub,
Jana Juřenčáková,Czech Republic,,743423675.0,Stub,
Jaromír Nečas,Czech Republic,,744448745.0,Stub,
Siegfried Taub,Czech Republic,,744612257.0,Start,
Záviš Kalandra,Czech Republic,,746707985.0,Stub,
Alois Rašín,Czech Republic,,749575931.0,Start,
Bedřich Reicin,Czech Republic,,749945936.0,Start,
Bernd Richter,Czech Republic,,751718674.0,Stub,
Kamil Kalina,Czech Republic,,753045804.0,Stub,
Richard Sacher,Czech Republic,,755428089.0,Stub,
Václav Fischer,Czech Republic,,756317863.0,Start,
Božena Viková-Kunětická,Czech Republic,,757336278.0,Stub,
Mikuláš of Hus,Czech Republic,,758942647.0,Stub,
Gertruda Sekaninová-Čakrtová,Czech Republic,,759446334.0,GA,
Petr Mlsna,Czech Republic,,765838180.0,Stub,
Antonín Cyril Stojan,Czech Republic,,768047769.0,C,
František Kubka,Czech Republic,,768676716.0,Stub,
Josef Pfitzner,Czech Republic,,773853256.0,Start,
Vladimír Franz,Czech Republic,,774595725.0,C,
Jan Stocklassa,Czech Republic,,776095794.0,Stub,
Jaroslav Krejčí,Czech Republic,,776197284.0,Start,
Libuše Benešová,Czech Republic,,776338134.0,Stub,
Daniela Filipiová,Czech Republic,,776338195.0,Start,
Moses Porges von Portheim,Czech Republic,,776487173.0,Start,
Jan Kasl,Czech Republic,,776508129.0,Start,
Jiří Kittner,Czech Republic,,776509425.0,Stub,
Miloslav Vlček,Czech Republic,,776513404.0,Stub,
Ivo Svoboda (politician),Czech Republic,,776513552.0,Start,
Hana Orgoníková,Czech Republic,,776513802.0,Stub,
Pavel Dostál,Czech Republic,,776514175.0,Start,
Jiří Lobkowicz,Czech Republic,,776751749.0,Stub,
Bohuslav Kokotek,Czech Republic,,777876483.0,Stub,
Alena Hanáková,Czech Republic,,778095433.0,Stub,
Irena Kočí,Czech Republic,,779417455.0,Stub,
Martin Netolický,Czech Republic,,779417738.0,Stub,
David Rath,Czech Republic,,779418369.0,Start,
Eva Nováková,Czech Republic,,779498276.0,Stub,
Vojtěch Adam,Czech Republic,,779500408.0,Stub,
Vlastimil Balín,Czech Republic,,779500749.0,Stub,
Jiří Dolejš,Czech Republic,,779500957.0,Stub,
Zuzka Bebarová-Rujbrová,Czech Republic,,779501010.0,Stub,
Marie Stiborová,Czech Republic,,779501096.0,Start,
Jiří Svoboda (politician),Czech Republic,,779501161.0,Stub,
Miloslava Vostrá,Czech Republic,,779501194.0,Stub,
Jiří Čeřovský,Czech Republic,,779501654.0,Stub,
Jan Korger,Czech Republic,,779501783.0,Stub,
Kateřina Jacques,Czech Republic,,779581127.0,C,
Tomáš Chalupa,Czech Republic,,779839245.0,Stub,
Pavel Blažek,Czech Republic,,779839319.0,Stub,
Aleš Řebíček,Czech Republic,,779839400.0,Stub,
Ivan Langer,Czech Republic,,779839455.0,Start,
Jan Stráský,Czech Republic,,779839492.0,Start,
Jan Chvojka,Czech Republic,,779842639.0,Stub,
Marie Benešová,Czech Republic,,779847262.0,Stub,
Juraj Chmiel,Czech Republic,,779847492.0,Stub,
Daniela Kovářová,Czech Republic,,779847531.0,Stub,
Rostislav Vondruška,Czech Republic,,779847687.0,Stub,
Martin Štěpánek (actor),Czech Republic,,779847799.0,Start,
Helena Třeštíková,Czech Republic,,779847837.0,Stub,
Milena Vicenová,Czech Republic,,779847883.0,Stub,
Jaroslav Bašta,Czech Republic,,779848743.0,Stub,
Josef Lux,Czech Republic,,779849059.0,Stub,
Miroslav Macek,Czech Republic,,779849258.0,Stub,
Ladislav Miko,Czech Republic,,779849694.0,Stub,
Džamila Stehlíková,Czech Republic,,779849767.0,Stub,
Jozef Moravčík,Czech Republic,,780051829.0,Stub,
Milan Uhde,Czech Republic,,780321961.0,Stub,
František Pitra,Czech Republic,,780534080.0,Stub,
Oldřich Černík,Czech Republic,,780534267.0,Stub,
Otakar Motejl,Czech Republic,,780868492.0,Start,
Ludwig Czech,Czech Republic,,780887131.0,Stub,
Rudolf Beran,Czech Republic,,780921783.0,Start,
Victor Adler,Czech Republic,,782058966.0,Start,
Emil Beier,Czech Republic,,782384016.0,Stub,
Bruno Kafka,Czech Republic,,783065752.0,Stub,
Lucie Talmanová,Czech Republic,,783711789.0,Start,
Martin Mejstřík,Czech Republic,,783737915.0,Stub,
Vlastimil Tusar,Czech Republic,,784145485.0,Start,
Petr Bendl,Czech Republic,,784826685.0,Start,
Petr Gandalovič,Czech Republic,,784826720.0,Start,
Tomáš Vandas,Czech Republic,,784968648.0,Start,
Robert Mayr-Harting,Czech Republic,,785085345.0,Stub,
Karel Havlíček Borovský,Czech Republic,,785407597.0,C,
Jan Černý,Czech Republic,,786162238.0,Start,
Josef Frank (politician),Czech Republic,,786399604.0,Stub,
Philip Kinsky of Wchinitz and Tettau,Czech Republic,,786612217.0,Start,
Luboš Dobrovský,Czech Republic,,787952395.0,Stub,
Bedřich Moldan,Czech Republic,,787952868.0,Stub,
Martin Palouš,Czech Republic,,788015952.0,Start,
Hermann Zwierzina,Czech Republic,,788121309.0,Stub,
Eduard Zeman,Czech Republic,,788178766.0,Stub,
Richard Bienert,Czech Republic,,788410657.0,Start,
Václav Hampl,Czech Republic,,789102318.0,Start,
Miroslav Grebeníček,Czech Republic,,789546047.0,Stub,
Vlasta Štěpová,Czech Republic,,789546066.0,Stub,
Egon Lánský,Czech Republic,,789546079.0,Start,
Antonín Prachař,Czech Republic,,789546102.0,Stub,
Milan Horálek,Czech Republic,,789546147.0,Stub,
Antonín Novotný,Czech Republic,,790372008.0,C,
Zuzana Brzobohatá,Czech Republic,,790608148.0,Stub,
Alena Palečková,Czech Republic,,790608180.0,Stub,
Zuzana Roithová,Czech Republic,,790608186.0,Start,
"List of MPs elected in the Czech legislative election, 2017",Czech Republic,,790838510.0,Stub,
Martin Jahn,Czech Republic,,791374581.0,Start,
Pavel Rychetský,Czech Republic,,792417439.0,Stub,
Gustáv Slamečka,Czech Republic,,792476721.0,Start,
Edvard Kožušník,Czech Republic,,793087579.0,Stub,
Jan Masaryk,Czech Republic,,793642926.0,C,
Jan Koukal,Czech Republic,,794146543.0,Stub,
Pavel Bém,Czech Republic,,794995687.0,Start,
"List of MPs elected in the Czech legislative election, 2013",Czech Republic,,795098385.0,C,
Vít Bárta,Czech Republic,,795377941.0,Stub,
Karl Kautsky,Czech Republic,,795807571.0,C,
Karl von Czyhlarz,Czech Republic,,795809115.0,Stub,
Václav Fresl,Czech Republic,,796253432.0,Stub,
Josef Václav Frič,Czech Republic,,796403608.0,Start,
Tomáš Zdechovský,Czech Republic,,796749458.0,C,
Andrea Češková,Czech Republic,,796751775.0,Stub,
Dana Kuchtová,Czech Republic,,796752629.0,Stub,
Rudolf Margolius,Czech Republic,,796825099.0,C,
František Ladislav Rieger,Czech Republic,,797539957.0,C,
Petr Mach,Czech Republic,,797842545.0,Start,
Jaroslava Moserová,Czech Republic,,798490261.0,Start,
Vávra Suk,Czech Republic,,798648973.0,Stub,
Vojtěch Náprstek,Czech Republic,,798686948.0,C,
